Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:08:53,3791530, Ketinggian (Altitude) : 1996.92, Kemiringan (pitch) : -5.41, Kemiringan (roll) : 6.44
2026-05-21 10:08:53,3792534, Ketinggian (Altitude) : 1996.98, Kemiringan (pitch) : -7.64, Kemiringan (roll) : 14.03
2026-05-21 10:08:54,3793538, Ketinggian (Altitude) : 1996.99, Kemiringan (pitch) : 2.34, Kemiringan (roll) : 7.57
2026-05-21 10:08:55,3794542, Ketinggian (Altitude) : 1997.05, Kemiringan (pitch) : -2.51, Kemiringan (roll) : 5.14
2026-05-21 10:08:56,3795546, Ketinggian (Altitude) : 1997.10, Kemiringan (pitch) : 1.59, Kemiringan (roll) : 1.71
2026-05-21 10:08:57,3796550, Ketinggian (Altitude) : 1997.15, Kemiringan (pitch) : 3.41, Kemiringan (roll) : -0.26
2026-05-21 10:08:58,3797554, Ketinggian (Altitude) : 1997.18, Kemiringan (pitch) : -5.41, Kemiringan (roll) : 4.32
2026-05-21 10:08:59,3798558, Ketinggian (Altitude) : 1997.21, Kemiringan (pitch) : 9.02, Kemiringan (roll) : 3.14
2026-05-21 10:09:00,3799562, Ketinggian (Altitude) : 1997.27, Kemiringan (pitch) : -1.46, Kemiringan (roll) : -2.01
2026-05-21 10:09:01,3800566, Ketinggian (Altitude) : 1997.32, Kemiringan (pitch) : -10.22, Kemiringan (roll) : -1.32
2026-05-21 10:09:02,3801570, Ketinggian (Altitude) : 1997.38, Kemiringan (pitch) : 11.24, Kemiringan (roll) : -3.92
2026-05-21 10:09:03,3802574, Ketinggian (Altitude) : 1997.41, Kemiringan (pitch) : 0.94, Kemiringan (roll) : 0.44
2026-05-21 10:09:04,3803578, Ketinggian (Altitude) : 1997.47, Kemiringan (pitch) : 5.40, Kemiringan (roll) : -3.27
2026-05-21 10:09:05,3804582, Ketinggian (Altitude) : 1997.53, Kemiringan (pitch) : 8.50, Kemiringan (roll) : -10.30
2026-05-21 10:09:06,3805586, Ketinggian (Altitude) : 1997.58, Kemiringan (pitch) : -0.06, Kemiringan (roll) : 2.62
2026-05-21 10:09:07,3806590, Ketinggian (Altitude) : 1997.62, Kemiringan (pitch) : -3.44, Kemiringan (roll) : -0.07
2026-05-21 10:09:08,3807594, Ketinggian (Altitude) : 1997.70, Kemiringan (pitch) : 12.74, Kemiringan (roll) : -2.02
2026-05-21 10:09:09,3808598, Ketinggian (Altitude) : 1997.74, Kemiringan (pitch) : 2.11, Kemiringan (roll) : 1.09
2026-05-21 10:09:10,3809602, Ketinggian (Altitude) : 1997.80, Kemiringan (pitch) : 13.87, Kemiringan (roll) : -4.80
2026-05-21 10:09:11,3810606, Ketinggian (Altitude) : 1997.85, Kemiringan (pitch) : -1.72, Kemiringan (roll) : -5.20
