Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:01:24,3341738, Ketinggian (Altitude) : 1975.22, Kemiringan (pitch) : -1.08, Kemiringan (roll) : -7.71
2026-05-21 10:01:24,3342742, Ketinggian (Altitude) : 1975.28, Kemiringan (pitch) : 1.46, Kemiringan (roll) : 9.54
2026-05-21 10:01:24,3343746, Ketinggian (Altitude) : 1975.42, Kemiringan (pitch) : -1.72, Kemiringan (roll) : -12.40
2026-05-21 10:01:25,3344750, Ketinggian (Altitude) : 1975.55, Kemiringan (pitch) : -11.14, Kemiringan (roll) : 0.22
2026-05-21 10:01:26,3345754, Ketinggian (Altitude) : 1975.69, Kemiringan (pitch) : -21.28, Kemiringan (roll) : 1.25
2026-05-21 10:01:27,3346758, Ketinggian (Altitude) : 1975.85, Kemiringan (pitch) : -2.59, Kemiringan (roll) : 2.28
2026-05-21 10:01:28,3347762, Ketinggian (Altitude) : 1975.95, Kemiringan (pitch) : 4.34, Kemiringan (roll) : 7.80
2026-05-21 10:01:29,3348766, Ketinggian (Altitude) : 1976.09, Kemiringan (pitch) : -11.43, Kemiringan (roll) : 6.19
2026-05-21 10:01:30,3349770, Ketinggian (Altitude) : 1976.21, Kemiringan (pitch) : -2.44, Kemiringan (roll) : -2.83
2026-05-21 10:01:31,3350774, Ketinggian (Altitude) : 1976.32, Kemiringan (pitch) : -4.19, Kemiringan (roll) : 6.90
2026-05-21 10:01:32,3351778, Ketinggian (Altitude) : 1976.44, Kemiringan (pitch) : -6.24, Kemiringan (roll) : 2.37
2026-05-21 10:01:33,3352782, Ketinggian (Altitude) : 1976.59, Kemiringan (pitch) : -23.71, Kemiringan (roll) : 7.96
2026-05-21 10:01:34,3353786, Ketinggian (Altitude) : 1976.68, Kemiringan (pitch) : -7.88, Kemiringan (roll) : 3.66
2026-05-21 10:01:35,3354790, Ketinggian (Altitude) : 1976.80, Kemiringan (pitch) : -21.12, Kemiringan (roll) : 6.77
2026-05-21 10:01:36,3355794, Ketinggian (Altitude) : 1976.91, Kemiringan (pitch) : -1.92, Kemiringan (roll) : -0.31
2026-05-21 10:01:37,3356798, Ketinggian (Altitude) : 1977.02, Kemiringan (pitch) : -13.91, Kemiringan (roll) : 4.70
2026-05-21 10:01:38,3357802, Ketinggian (Altitude) : 1977.05, Kemiringan (pitch) : -13.35, Kemiringan (roll) : 9.57
2026-05-21 10:01:39,3358806, Ketinggian (Altitude) : 1977.14, Kemiringan (pitch) : -19.81, Kemiringan (roll) : 5.78
2026-05-21 10:01:40,3359810, Ketinggian (Altitude) : 1977.22, Kemiringan (pitch) : -5.04, Kemiringan (roll) : -1.55
2026-05-21 10:01:41,3360814, Ketinggian (Altitude) : 1977.31, Kemiringan (pitch) : -8.57, Kemiringan (roll) : -2.23
2026-05-21 10:01:42,3361818, Ketinggian (Altitude) : 1977.41, Kemiringan (pitch) : -5.38, Kemiringan (roll) : 3.38
2026-05-21 10:01:43,3362822, Ketinggian (Altitude) : 1977.48, Kemiringan (pitch) : -10.84, Kemiringan (roll) : 1.38
2026-05-21 10:01:44,3363826, Ketinggian (Altitude) : 1977.57, Kemiringan (pitch) : -1.84, Kemiringan (roll) : 2.61
2026-05-21 10:01:45,3364830, Ketinggian (Altitude) : 1977.63, Kemiringan (pitch) : 18.32, Kemiringan (roll) : -1.44
2026-05-21 10:01:46,3365834, Ketinggian (Altitude) : 1977.68, Kemiringan (pitch) : 4.38, Kemiringan (roll) : -1.84
2026-05-21 10:01:47,3366838, Ketinggian (Altitude) : 1977.76, Kemiringan (pitch) : 2.36, Kemiringan (roll) : 4.44
2026-05-21 10:01:48,3367842, Ketinggian (Altitude) : 1977.82, Kemiringan (pitch) : -9.07, Kemiringan (roll) : 6.73
2026-05-21 10:01:49,3368846, Ketinggian (Altitude) : 1977.87, Kemiringan (pitch) : 3.29, Kemiringan (roll) : -5.86
2026-05-21 10:01:50,3369850, Ketinggian (Altitude) : 1977.93, Kemiringan (pitch) : 0.35, Kemiringan (roll) : -1.36
2026-05-21 10:01:51,3370854, Ketinggian (Altitude) : 1977.96, Kemiringan (pitch) : 5.40, Kemiringan (roll) : -3.41
2026-05-21 10:01:52,3371858, Ketinggian (Altitude) : 1977.97, Kemiringan (pitch) : -2.00, Kemiringan (roll) : -0.25
2026-05-21 10:01:53,3372862, Ketinggian (Altitude) : 1978.03, Kemiringan (pitch) : -3.15, Kemiringan (roll) : 14.72
2026-05-21 10:01:54,3373866, Ketinggian (Altitude) : 1978.10, Kemiringan (pitch) : 0.15, Kemiringan (roll) : -3.06
2026-05-21 10:01:55,3374870, Ketinggian (Altitude) : 1978.16, Kemiringan (pitch) : -8.49, Kemiringan (roll) : 4.92
2026-05-21 10:01:56,3375874, Ketinggian (Altitude) : 1978.22, Kemiringan (pitch) : -8.62, Kemiringan (roll) : 6.55
2026-05-21 10:01:57,3376878, Ketinggian (Altitude) : 1978.26, Kemiringan (pitch) : 0.27, Kemiringan (roll) : -15.42
2026-05-21 10:01:58,3377882, Ketinggian (Altitude) : 1978.30, Kemiringan (pitch) : -3.65, Kemiringan (roll) : -1.55
2026-05-21 10:01:59,3378886, Ketinggian (Altitude) : 1978.34, Kemiringan (pitch) : -2.97, Kemiringan (roll) : -3.56
2026-05-21 10:02:00,3379890, Ketinggian (Altitude) : 1978.37, Kemiringan (pitch) : -6.93, Kemiringan (roll) : -3.15
2026-05-21 10:02:01,3380894, Ketinggian (Altitude) : 1978.43, Kemiringan (pitch) : -2.69, Kemiringan (roll) : 6.43
2026-05-21 10:02:02,3381898, Ketinggian (Altitude) : 1978.50, Kemiringan (pitch) : -2.48, Kemiringan (roll) : -5.57
