Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:30:08,5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) :5065606, Ketinggian (Altitude) : 1980.36, Kemiringan (pitch) : 5.27, Kemiringan (roll) : 13.39
2026-05-21 10:30:08,5066610, Ketinggian (Altitude) : 1980.44, Kemiringan (pitch) : -4.61, Kemiringan (roll) : -7.40
2026-05-21 10:30:08,5067614, Ketinggian (Altitude) : 1980.50, Kemiringan (pitch) : -1.12, Kemiringan (roll) : 15.70
2026-05-21 10:30:09,5068618, Ketinggian (Altitude) : 1980.56, Kemiringan (pitch) : -2.61, Kemiringan (roll) : -7.96
2026-05-21 10:30:10,5069622, Ketinggian (Altitude) : 1980.61, Kemiringan (pitch) : -10.51, Kemiringan (roll) : -9.58
2026-05-21 10:30:11,5070626, Ketinggian (Altitude) : 1980.70, Kemiringan (pitch) : 4.04, Kemiringan (roll) : 5.61
2026-05-21 10:30:12,5071630, Ketinggian (Altitude) : 1980.76, Kemiringan (pitch) : -8.96, Kemiringan (roll) : 7.48
2026-05-21 10:30:13,5072634, Ketinggian (Altitude) : 1980.84, Kemiringan (pitch) : 14.89, Kemiringan (roll) : 21.98
2026-05-21 10:30:14,5073638, Ketinggian (Altitude) : 1980.88, Kemiringan (pitch) : 2.91, Kemiringan (roll) : 12.45
2026-05-21 10:30:15,5074642, Ketinggian (Altitude) : 1980.91, Kemiringan (pitch) : 6.95, Kemiringan (roll) : 8.72
2026-05-21 10:30:16,5075646, Ketinggian (Altitude) : 1980.99, Kemiringan (pitch) : 0.70, Kemiringan (roll) : 8.70
2026-05-21 10:30:17,5076650, Ketinggian (Altitude) : 1981.08, Kemiringan (pitch) : -9.44, Kemiringan (roll) : -14.24
2026-05-21 10:30:18,5077654, Ketinggian (Altitude) : 1981.17, Kemiringan (pitch) : 15.05, Kemiringan (roll) : 4.30
2026-05-21 10:30:19,5078658, Ketinggian (Altitude) : 1981.22, Kemiringan (pitch) : 5.66, Kemiringan (roll) : -2.51
