Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:51:23,6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) :6340686, Ketinggian (Altitude) : 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0 2021.80, Kemiringan (pitch) : 0.02, Kemiringan (roll) : -2.20
2026-05-21 10:51:23,6341690, Ketinggian (Altitude) : 2021.80, Kemiringan (pitch) : -0.21, Kemiringan (roll) : -2.34
2026-05-21 10:51:23,6342694, Ketinggian (Altitude) : 2021.80, Kemiringan (pitch) : 0.05, Kemiringan (roll) : -2.10
2026-05-21 10:51:24,6343698, Ketinggian (Altitude) : 2021.80, Kemiringan (pitch) : -0.12, Kemiringan (roll) : -2.46
2026-05-21 10:51:25,6344702, Ketinggian (Altitude) : 2021.80, Kemiringan (pitch) : -0.21, Kemiringan (roll) : -2.18
2026-05-21 10:51:26,6345706, Ketinggian (Altitude) : 2021.81, Kemiringan (pitch) : -0.03, Kemiringan (roll) : -2.23
2026-05-21 10:51:27,6346710, Ketinggian (Altitude) : 2021.81, Kemiringan (pitch) : 0.02, Kemiringan (roll) : -2.23
2026-05-21 10:51:28,6347714, Ketinggian (Altitude) : 2021.81, Kemiringan (pitch) : 0.00, Kemiringan (roll) : -2.03
2026-05-21 10:51:29,6348718, Ketinggian (Altitude) : 2021.79, Kemiringan (pitch) : 0.15, Kemiringan (roll) : -2.32
2026-05-21 10:51:30,6349722, Ketinggian (Altitude) : 2021.79, Kemiringan (pitch) : 0.08, Kemiringan (roll) : -2.25
2026-05-21 10:51:31,6350726, Ketinggian (Altitude) : 2021.81, Kemiringan (pitch) : -0.20, Kemiringan (roll) : -2.13
2026-05-21 10:51:32,6351730, Ketinggian (Altitude) : 2021.81, Kemiringan (pitch) : -0.06, Kemiringan (roll) : -2.24
2026-05-21 10:51:33,6352734, Ketinggian (Altitude) : 2021.85, Kemiringan (pitch) : -0.13, Kemiringan (roll) : -2.13
2026-05-21 10:51:34,6353738, Ketinggian (Altitude) : 2021.85, Kemiringan (pitch) : -0.06, Kemiringan (roll) : -2.18
2026-05-21 10:51:35,6354742, Ketinggian (Altitude) : 2021.85, Kemiringan (pitch) : 0.07, Kemiringan (roll) : -1.94
2026-05-21 10:51:36,6355746, Ketinggian (Altitude) : 2021.86, Kemiringan (pitch) : -0.05, Kemiringan (roll) : -2.18
2026-05-21 10:51:37,6356750, Ketinggian (Altitude) : 2021.86, Kemiringan (pitch) : -0.05, Kemiringan (roll) : -2.18
2026-05-21 10:51:38,6357754, Ketinggian (Altitude) : 2021.89, Kemiringan (pitch) : -0.20, Kemiringan (roll) : -2.11
2026-05-21 10:51:39,6358758, Ketinggian (Altitude) : 2021.88, Kemiringan (pitch) : 0.21, Kemiringan (roll) : -2.20
2026-05-21 10:51:40,6359762, Ketinggian (Altitude) : 2021.88, Kemiringan (pitch) : 0.06, Kemiringan (roll) : -2.13
2026-05-21 10:51:41,6360766, Ketinggian (Altitude) : 2021.89, Kemiringan (pitch) : -0.08, Kemiringan (roll) : -2.27
2026-05-21 10:51:42,6361770, Ketinggian (Altitude) : 2021.92, Kemiringan (pitch) : 0.06, Kemiringan (roll) : -2.29
2026-05-21 10:51:43,6362774, Ketinggian (Altitude) : 2021.92, Kemiringan (pitch) : 0.09, Kemiringan (roll) : -2.35
2026-05-21 10:51:44,6363778, Ketinggian (Altitude) : 2021.95, Kemiringan (pitch) : -0.14, Kemiringan (roll) : -2.25
2026-05-21 10:51:45,6364782, Ketinggian (Altitude) : 2021.95, Kemiringan (pitch) : -0.15, Kemiringan (roll) : -2.09
2026-05-21 10:51:46,6365786, Ketinggian (Altitude) : 2021.95, Kemiringan (pitch) : -0.13, Kemiringan (roll) : -2.44
2026-05-21 10:51:47,6366790, Ketinggian (Altitude) : 2021.95, Kemiringan (pitch) : -0.19, Kemiringan (roll) : -2.48
2026-05-21 10:51:48,6367794, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : 0.11, Kemiringan (roll) : -1.92
2026-05-21 10:51:49,6368798, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : 1.59, Kemiringan (roll) : -0.63
2026-05-21 10:51:50,6369802, Ketinggian (Altitude) : 2021.96, Kemiringan (pitch) : -4.70, Kemiringan (roll) : 0.13
2026-05-21 10:51:51,6370806, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : 31.75, Kemiringan (roll) : 2.47
2026-05-21 10:51:52,6371810, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : -13.24, Kemiringan (roll) : 2.23
2026-05-21 10:51:53,6372814, Ketinggian (Altitude) : 2022.00, Kemiringan (pitch) : -27.95, Kemiringan (roll) : 5.05
2026-05-21 10:51:54,6373818, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : -20.78, Kemiringan (roll) : 12.58
2026-05-21 10:51:55,6374822, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : 3.91, Kemiringan (roll) : -6.01
2026-05-21 10:51:56,6375826, Ketinggian (Altitude) : 2021.98, Kemiringan (pitch) : -14.16, Kemiringan (roll) : 42.75
