Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:58:41,6778430, Ketinggian (Altitude) : 2008.64, Kemiringan (pitch) : -1.80, Kemiringan (roll) : 0.99
2026-05-21 10:58:41,6779434, Ketinggian (Altitude) : 2008.72, Kemiringan (pitch) : 0.07, Kemiringan (roll) : 5.85
2026-05-21 10:58:41,6780438, Ketinggian (Altitude) : 2008.74, Kemiringan (pitch) : 4.31, Kemiringan (roll) : 11.46
2026-05-21 10:58:42,6781442, Ketinggian (Altitude) : 2008.77, Kemiringan (pitch) : 3.97, Kemiringan (roll) : 11.85
2026-05-21 10:58:43,6782446, Ketinggian (Altitude) : 2008.80, Kemiringan (pitch) : 24.07, Kemiringan (roll) : 5.88
2026-05-21 10:58:44,6783450, Ketinggian (Altitude) : 2008.80, Kemiringan (pitch) : 38.26, Kemiringan (roll) : -7.30
2026-05-21 10:58:45,6784454, Ketinggian (Altitude) : 2008.83, Kemiringan (pitch) : 11.97, Kemiringan (roll) : 9.36
2026-05-21 10:58:46,6785458, Ketinggian (Altitude) : 2008.86, Kemiringan (pitch) : 27.78, Kemiringan (roll) : 4.39
2026-05-21 10:58:47,6786462, Ketinggian (Altitude) : 2008.87, Kemiringan (pitch) : 3.86, Kemiringan (roll) : -15.89
2026-05-21 10:58:48,6787466, Ketinggian (Altitude) : 2008.87, Kemiringan (pitch) : 4.38, Kemiringan (roll) : 9.14
2026-05-21 10:58:49,6788470, Ketinggian (Altitude) : 2008.90, Kemiringan (pitch) : -3.25, Kemiringan (roll) : -3.78
2026-05-21 10:58:50,6789474, Ketinggian (Altitude) : 2008.91, Kemiringan (pitch) : -10.55, Kemiringan (roll) : -5.72
2026-05-21 10:58:51,6790478, Ketinggian (Altitude) : 2008.91, Kemiringan (pitch) : -10.68, Kemiringan (roll) : 0.25
2026-05-21 10:58:52,6791482, Ketinggian (Altitude) : 2008.96, Kemiringan (pitch) : 4.32, Kemiringan (roll) : 1.23
2026-05-21 10:58:53,6792486, Ketinggian (Altitude) : 2008.97, Kemiringan (pitch) : -5.31, Kemiringan (roll) : 3.07
2026-05-21 10:58:54,6793490, Ketinggian (Altitude) : 2008.97, Kemiringan (pitch) : -3.97, Kemiringan (roll) : 4.14
2026-05-21 10:58:55,6794494, Ketinggian (Altitude) : 2009.00, Kemiringan (pitch) : -7.11, Kemiringan (roll) : 7.43
2026-05-21 10:58:56,6795498, Ketinggian (Altitude) : 2009.01, Kemiringan (pitch) : -3.28, Kemiringan (roll) : 2.42
2026-05-21 10:58:57,6796502, Ketinggian (Altitude) : 2009.01, Kemiringan (pitch) : 3.01, Kemiringan (roll) : -0.29
2026-05-21 10:58:58,6797506, Ketinggian (Altitude) : 2009.01, Kemiringan (pitch) : -14.75, Kemiringan (roll) : -2.88
2026-05-21 10:58:59,6798510, Ketinggian (Altitude) : 2009.01, Kemiringan (pitch) : -3.29, Kemiringan (roll) : 5.41
2026-05-21 10:59:00,6799514, Ketinggian (Altitude) : 2009.03, Kemiringan (pitch) : -2.90, Kemiringan (roll) : 5.01
2026-05-21 10:59:01,6800518, Ketinggian (Altitude) : 2009.03, Kemiringan (pitch) : 1.16, Kemiringan (roll) : 10.07
2026-05-21 10:59:02,6801522, Ketinggian (Altitude) : 2009.03, Kemiringan (pitch) : 14.63, Kemiringan (roll) : 8.16
2026-05-21 10:59:03,6802526, Ketinggian (Altitude) : 2009.01, Kemiringan (pitch) : -13.70, Kemiringan (roll) : 11.31
