Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:54:42,6539478, Ketinggian (Altitude) : 2013.05, Kemiringan (pitch) : -8.58, Kemiringan (roll) : 23.66
2026-05-21 10:54:42,6540482, Ketinggian (Altitude) : 2013.06, Kemiringan (pitch) : 0.97, Kemiringan (roll) : 20.36
2026-05-21 10:54:42,6541486, Ketinggian (Altitude) : 2013.06, Kemiringan (pitch) : -15.50, Kemiringan (roll) : 19.75
2026-05-21 10:54:43,6542490, Ketinggian (Altitude) : 2013.04, Kemiringan (pitch) : 6.52, Kemiringan (roll) : 31.22
2026-05-21 10:54:44,6543494, Ketinggian (Altitude) : 2013.04, Kemiringan (pitch) : 6.51, Kemiringan (roll) : 14.12
2026-05-21 10:54:45,6544498, Ketinggian (Altitude) : 2013.04, Kemiringan (pitch) : 16.49, Kemiringan (roll) : 19.55
2026-05-21 10:54:46,6545502, Ketinggian (Altitude) : 2013.04, Kemiringan (pitch) : 2.75, Kemiringan (roll) : -0.39
2026-05-21 10:54:47,6546506, Ketinggian (Altitude) : 2013.01, Kemiringan (pitch) : 3.23, Kemiringan (roll) : 8.91
2026-05-21 10:54:48,6547510, Ketinggian (Altitude) : 2013.01, Kemiringan (pitch) : -6.04, Kemiringan (roll) : 15.98
2026-05-21 10:54:49,6548514, Ketinggian (Altitude) : 2012.98, Kemiringan (pitch) : -8.89, Kemiringan (roll) : 9.04
2026-05-21 10:54:50,6549518, Ketinggian (Altitude) : 2012.98, Kemiringan (pitch) : 4.97, Kemiringan (roll) : 12.61
2026-05-21 10:54:51,6550522, Ketinggian (Altitude) : 2012.95, Kemiringan (pitch) : -4.40, Kemiringan (roll) : 8.71
2026-05-21 10:54:52,6551526, Ketinggian (Altitude) : 2012.95, Kemiringan (pitch) : 4.77, Kemiringan (roll) : 24.89
2026-05-21 10:54:53,6552530, Ketinggian (Altitude) : 2012.95, Kemiringan (pitch) : -6.54, Kemiringan (roll) : 1.63
2026-05-21 10:54:54,6553534, Ketinggian (Altitude) : 2012.92, Kemiringan (pitch) : -5.11, Kemiringan (roll) : 11.01
2026-05-21 10:54:55,6554538, Ketinggian (Altitude) : 2012.92, Kemiringan (pitch) : 8.23, Kemiringan (roll) : 3.18
2026-05-21 10:54:56,6555542, Ketinggian (Altitude) : 2012.92, Kemiringan (pitch) : 5.03, Kemiringan (roll) : 8.82
2026-05-21 10:54:57,6556546, Ketinggian (Altitude) : 2012.92, Kemiringan (pitch) : -3.96, Kemiringan (roll) : 14.58
2026-05-21 10:54:58,6557550, Ketinggian (Altitude) : 2012.89, Kemiringan (pitch) : -4.57, Kemiringan (roll) : 10.41
2026-05-21 10:54:59,6558554, Ketinggian (Altitude) : 2012.89, Kemiringan (pitch) : 1.92, Kemiringan (roll) : 13.50
2026-05-21 10:55:00,6559558, Ketinggian (Altitude) : 2012.89, Kemiringan (pitch) : 4.24, Kemiringan (roll) : 4.52
2026-05-21 10:55:01,6560562, Ketinggian (Altitude) : 2012.89, Kemiringan (pitch) : 24.14, Kemiringan (roll) : 6.92
2026-05-21 10:55:02,6561566, Ketinggian (Altitude) : 2012.91, Kemiringan (pitch) : -8.73, Kemiringan (roll) : 11.56
2026-05-21 10:55:03,6562570, Ketinggian (Altitude) : 2012.89, Kemiringan (pitch) : 5.78, Kemiringan (roll) : 21.58
2026-05-21 10:55:04,6563574, Ketinggian (Altitude) : 2012.85, Kemiringan (pitch) : 7.16, Kemiringan (roll) : 23.60
2026-05-21 10:55:05,6564578, Ketinggian (Altitude) : 2012.85, Kemiringan (pitch) : 4.93, Kemiringan (roll) : 17.22
2026-05-21 10:55:06,6565582, Ketinggian (Altitude) : 2012.86, Kemiringan (pitch) : -2.16, Kemiringan (roll) : 7.94
2026-05-21 10:55:07,6566586, Ketinggian (Altitude) : 2012.82, Kemiringan (pitch) : -1.87, Kemiringan (roll) : 10.59
2026-05-21 10:55:08,6567590, Ketinggian (Altitude) : 2012.82, Kemiringan (pitch) : -1.46, Kemiringan (roll) : 7.48
2026-05-21 10:55:09,6568594, Ketinggian (Altitude) : 2012.81, Kemiringan (pitch) : 0.47, Kemiringan (roll) : 7.35
2026-05-21 10:55:10,6569598, Ketinggian (Altitude) : 2012.81, Kemiringan (pitch) : 1.39, Kemiringan (roll) : 9.16
2026-05-21 10:55:11,6570602, Ketinggian (Altitude) : 2012.81, Kemiringan (pitch) : 1.44, Kemiringan (roll) : 11.85
2026-05-21 10:55:12,6571606, Ketinggian (Altitude) : 2012.78, Kemiringan (pitch) : 6.37, Kemiringan (roll) : 9.42
2026-05-21 10:55:13,6572610, Ketinggian (Altitude) : 2012.75, Kemiringan (pitch) : 0.40, Kemiringan (roll) : 5.35
2026-05-21 10:55:14,6573614, Ketinggian (Altitude) : 2012.72, Kemiringan (pitch) : -4.84, Kemiringan (roll) : 7.37
2026-05-21 10:55:15,6574618, Ketinggian (Altitude) : 2012.70, Kemiringan (pitch) : 7.43, Kemiringan (roll) : 3.37
2026-05-21 10:55:16,6575622, Ketinggian (Altitude) : 2012.67, Kemiringan (pitch) : 11.89, Kemiringan (roll) : 6.71
2026-05-21 10:55:17,6576626, Ketinggian (Altitude) : 2012.64, Kemiringan (pitch) : 0.38, Kemiringan (roll) : 4.54
2026-05-21 10:55:18,6577630, Ketinggian (Altitude) : 2012.57, Kemiringan (pitch) : -3.43, Kemiringan (roll) : 9.73
2026-05-21 10:55:19,6578634, Ketinggian (Altitude) : 2012.56, Kemiringan (pitch) : 3.49, Kemiringan (roll) : 14.11
2026-05-21 10:55:20,6579638, Ketinggian (Altitude) : 2012.53, Kemiringan (pitch) : 3.09, Kemiringan (roll) : 17.91
2026-05-21 10:55:21,6580642, Ketinggian (Altitude) : 2012.50, Kemiringan (pitch) : -3.66, Kemiringan (roll) : 26.78
2026-05-21 10:55:22,6581646, Ketinggian (Altitude) : 2012.47, Kemiringan (pitch) : -4.08, Kemiringan (roll) : 29.36
