Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:11:17,3935102, Ketinggian (Altitude) : 1974.81, Kemiringan (pitch) : -1.57, Kemiringan (roll) : -5.66
2026-05-21 10:11:17,3936106, Ketinggian (Altitude) : 1974.58, Kemiringan (pitch) : 7.37, Kemiringan (roll) : 17.75
2026-05-21 10:11:18,3937110, Ketinggian (Altitude) : 1974.38, Kemiringan (pitch) : 12.11, Kemiringan (roll) : 5.87
2026-05-21 10:11:19,3938114, Ketinggian (Altitude) : 1974.21, Kemiringan (pitch) : -3.51, Kemiringan (roll) : 7.54
2026-05-21 10:11:20,3939118, Ketinggian (Altitude) : 1974.09, Kemiringan (pitch) : 30.05, Kemiringan (roll) : -24.95
2026-05-21 10:11:21,3940122, Ketinggian (Altitude) : 1973.90, Kemiringan (pitch) : -12.92, Kemiringan (roll) : 6.01
2026-05-21 10:11:22,3941126, Ketinggian (Altitude) : 1973.73, Kemiringan (pitch) : 27.46, Kemiringan (roll) : -10.80
2026-05-21 10:11:23,3942130, Ketinggian (Altitude) : 1973.55, Kemiringan (pitch) : 29.16, Kemiringan (roll) : -16.62
2026-05-21 10:11:24,3943134, Ketinggian (Altitude) : 1973.38, Kemiringan (pitch) : 20.54, Kemiringan (roll) : -8.22
2026-05-21 10:11:25,3944138, Ketinggian (Altitude) : 1973.18, Kemiringan (pitch) : 6.88, Kemiringan (roll) : 1.25
2026-05-21 10:11:26,3945142, Ketinggian (Altitude) : 1972.96, Kemiringan (pitch) : 14.06, Kemiringan (roll) : -11.15
2026-05-21 10:11:27,3946146, Ketinggian (Altitude) : 1972.76, Kemiringan (pitch) : 2.28, Kemiringan (roll) : -2.86
2026-05-21 10:11:28,3947150, Ketinggian (Altitude) : 1972.59, Kemiringan (pitch) : 2.29, Kemiringan (roll) : 0.05
2026-05-21 10:11:29,3948154, Ketinggian (Altitude) : 1972.39, Kemiringan (pitch) : 14.15, Kemiringan (roll) : -13.44
2026-05-21 10:11:30,3949158, Ketinggian (Altitude) : 1972.14, Kemiringan (pitch) : 9.08, Kemiringan (roll) : -11.81
2026-05-21 10:11:31,3950162, Ketinggian (Altitude) : 1971.94, Kemiringan (pitch) : 5.85, Kemiringan (roll) : 13.07
2026-05-21 10:11:32,3951166, Ketinggian (Altitude) : 1971.72, Kemiringan (pitch) : 1.23, Kemiringan (roll) : -1.35
2026-05-21 10:11:33,3952170, Ketinggian (Altitude) : 1971.49, Kemiringan (pitch) : 7.61, Kemiringan (roll) : -23.24
2026-05-21 10:11:34,3953174, Ketinggian (Altitude) : 1971.29, Kemiringan (pitch) : 13.47, Kemiringan (roll) : -15.37
2026-05-21 10:11:35,3954178, Ketinggian (Altitude) : 1971.18, Kemiringan (pitch) : 14.24, Kemiringan (roll) : -5.82
2026-05-21 10:11:36,3955182, Ketinggian (Altitude) : 1970.95, Kemiringan (pitch) : -12.98, Kemiringan (roll) : 4.31
2026-05-21 10:11:37,3956186, Ketinggian (Altitude) : 1970.72, Kemiringan (pitch) : 2.79, Kemiringan (roll) : -5.41
2026-05-21 10:11:38,3957190, Ketinggian (Altitude) : 1970.46, Kemiringan (pitch) : -0.37, Kemiringan (roll) : -0.07
2026-05-21 10:11:39,3958194, Ketinggian (Altitude) : 1970.23, Kemiringan (pitch) : -7.96, Kemiringan (roll) : -4.11
2026-05-21 10:11:40,3959198, Ketinggian (Altitude) : 1969.96, Kemiringan (pitch) : -1.82, Kemiringan (roll) : -10.04
2026-05-21 10:11:41,3960202, Ketinggian (Altitude) : 1969.70, Kemiringan (pitch) : 12.79, Kemiringan (roll) : -7.95
2026-05-21 10:11:42,3961206, Ketinggian (Altitude) : 1969.46, Kemiringan (pitch) : 6.73, Kemiringan (roll) : -7.48
2026-05-21 10:11:43,3962210, Ketinggian (Altitude) : 1969.23, Kemiringan (pitch) : -11.18, Kemiringan (roll) : -14.66
2026-05-21 10:11:44,3963214, Ketinggian (Altitude) : 1968.97, Kemiringan (pitch) : 4.40, Kemiringan (roll) : -2.41
2026-05-21 10:11:45,3964218, Ketinggian (Altitude) : 1968.71, Kemiringan (pitch) : 1.29, Kemiringan (roll) : -7.97
2026-05-21 10:11:46,3965222, Ketinggian (Altitude) : 1968.49, Kemiringan (pitch) : 7.50, Kemiringan (roll) : -5.32
2026-05-21 10:11:47,3966226, Ketinggian (Altitude) : 1968.21, Kemiringan (pitch) : 7.77, Kemiringan (roll) : -9.95
2026-05-21 10:11:48,3967230, Ketinggian (Altitude) : 1967.98, Kemiringan (pitch) : -0.91, Kemiringan (roll) : -23.89
2026-05-21 10:11:49,3968234, Ketinggian (Altitude) : 1967.85, Kemiringan (pitch) : 7.00, Kemiringan (roll) : 1.19
2026-05-21 10:11:50,3969238, Ketinggian (Altitude) : 1967.60, Kemiringan (pitch) : 15.30, Kemiringan (roll) : -4.76
2026-05-21 10:11:51,3970242, Ketinggian (Altitude) : 1967.36, Kemiringan (pitch) : 0.81, Kemiringan (roll) : -3.82
2026-05-21 10:11:52,3971246, Ketinggian (Altitude) : 1967.14, Kemiringan (pitch) : 18.99, Kemiringan (roll) : -1.01
2026-05-21 10:11:53,3972250, Ketinggian (Altitude) : 1966.91, Kemiringan (pitch) : -15.24, Kemiringan (roll) : 6.66
2026-05-21 10:11:54,3973254, Ketinggian (Altitude) : 1966.68, Kemiringan (pitch) : -5.59, Kemiringan (roll) : -14.58
2026-05-21 10:11:55,3974258, Ketinggian (Altitude) : 1966.45, Kemiringan (pitch) : 10.44, Kemiringan (roll) : -18.89
2026-05-21 10:11:56,3975262, Ketinggian (Altitude) : 1966.22, Kemiringan (pitch) : 14.64, Kemiringan (roll) : -15.97
2026-05-21 10:11:57,3976266, Ketinggian (Altitude) : 1966.00, Kemiringan (pitch) : 9.58, Kemiringan (roll) : -6.72
2026-05-21 10:11:58,3977270, Ketinggian (Altitude) : 1965.77, Kemiringan (pitch) : -4.90, Kemiringan (roll) : -7.22
2026-05-21 10:11:59,3978274, Ketinggian (Altitude) : 1965.54, Kemiringan (pitch) : 5.92, Kemiringan (roll) : -10.33
2026-05-21 10:12:00,3979278, Ketinggian (Altitude) : 1965.34, Kemiringan (pitch) : 12.84, Kemiringan (roll) : -5.05
2026-05-21 10:12:01,3980282, Ketinggian (Altitude) : 1965.10, Kemiringan (pitch) : 6.15, Kemiringan (roll) : -11.48
2026-05-21 10:12:02,3981286, Ketinggian (Altitude) : 1964.89, Kemiringan (pitch) : -1.54, Kemiringan (roll) : -11.20
2026-05-21 10:12:03,3982290, Ketinggian (Altitude) : 1964.64, Kemiringan (pitch) : 12.24, Kemiringan (roll) : -11.96
2026-05-21 10:12:04,3983294, Ketinggian (Altitude) : 1964.55, Kemiringan (pitch) : 7.73, Kemiringan (roll) : -13.99
2026-05-21 10:12:05,3984298, Ketinggian (Altitude) : 1964.33, Kemiringan (pitch) : 11.60, Kemiringan (roll) : -27.27
2026-05-21 10:12:06,3985302, Ketinggian (Altitude) : 1964.10, Kemiringan (pitch) : -1.27, Kemiringan (roll) : -13.94
2026-05-21 10:12:07,3986306, Ketinggian (Altitude) : 1963.88, Kemiringan (pitch) : 13.70, Kemiringan (roll) : -11.58
2026-05-21 10:12:08,3987310, Ketinggian (Altitude) : 1963.65, Kemiringan (pitch) : -1.80, Kemiringan (roll) : -4.80
2026-05-21 10:12:09,3988314, Ketinggian (Altitude) : 1963.42, Kemiringan (pitch) : 12.54, Kemiringan (roll) : -14.43
2026-05-21 10:12:10,3989318, Ketinggian (Altitude) : 1963.19, Kemiringan (pitch) : 13.87, Kemiringan (roll) : -9.81
2026-05-21 10:12:11,3990322, Ketinggian (Altitude) : 1962.98, Kemiringan (pitch) : 18.00, Kemiringan (roll) : -28.00
2026-05-21 10:12:12,3991326, Ketinggian (Altitude) : 1962.75, Kemiringan (pitch) : -1.29, Kemiringan (roll) : -36.06
2026-05-21 10:12:13,3992330, Ketinggian (Altitude) : 1962.50, Kemiringan (pitch) : -13.93, Kemiringan (roll) : -13.23
2026-05-21 10:12:14,3993334, Ketinggian (Altitude) : 1962.31, Kemiringan (pitch) : 10.85, Kemiringan (roll) : -6.84
