Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:15:43,4201162, Ketinggian (Altitude) : 1966.06, Kemiringan (pitch) : 15.16, Kemiringan (roll) : 2.07
2026-05-21 10:15:43,4202166, Ketinggian (Altitude) : 1966.32, Kemiringan (pitch) : 16.40, Kemiringan (roll) : -5.82
2026-05-21 10:15:44,4203170, Ketinggian (Altitude) : 1966.55, Kemiringan (pitch) : 11.72, Kemiringan (roll) : 1.69
2026-05-21 10:15:45,4204174, Ketinggian (Altitude) : 1966.78, Kemiringan (pitch) : 13.39, Kemiringan (roll) : 2.80
2026-05-21 10:15:46,4205178, Ketinggian (Altitude) : 1966.98, Kemiringan (pitch) : 15.16, Kemiringan (roll) : -6.42
2026-05-21 10:15:47,4206182, Ketinggian (Altitude) : 1967.16, Kemiringan (pitch) : 4.51, Kemiringan (roll) : -14.99
2026-05-21 10:15:48,4207186, Ketinggian (Altitude) : 1967.31, Kemiringan (pitch) : 13.63, Kemiringan (roll) : -28.37
2026-05-21 10:15:49,4208190, Ketinggian (Altitude) : 1967.53, Kemiringan (pitch) : 4.94, Kemiringan (roll) : -33.56
2026-05-21 10:15:50,4209194, Ketinggian (Altitude) : 1967.62, Kemiringan (pitch) : 6.83, Kemiringan (roll) : -25.50
2026-05-21 10:15:51,4210198, Ketinggian (Altitude) : 1967.73, Kemiringan (pitch) : 11.72, Kemiringan (roll) : -7.75
2026-05-21 10:15:52,4211202, Ketinggian (Altitude) : 1967.75, Kemiringan (pitch) : 25.41, Kemiringan (roll) : -4.72
2026-05-21 10:15:53,4212206, Ketinggian (Altitude) : 1967.75, Kemiringan (pitch) : 28.80, Kemiringan (roll) : -1.72
2026-05-21 10:15:54,4213210, Ketinggian (Altitude) : 1967.58, Kemiringan (pitch) : 19.38, Kemiringan (roll) : -22.87
2026-05-21 10:15:55,4214214, Ketinggian (Altitude) : 1967.30, Kemiringan (pitch) : 14.37, Kemiringan (roll) : 14.12
2026-05-21 10:15:56,4215218, Ketinggian (Altitude) : 1967.07, Kemiringan (pitch) : -3.28, Kemiringan (roll) : 9.35
2026-05-21 10:15:57,4216222, Ketinggian (Altitude) : 1966.94, Kemiringan (pitch) : 6.64, Kemiringan (roll) : 0.45
2026-05-21 10:15:58,4217226, Ketinggian (Altitude) : 1966.80, Kemiringan (pitch) : 14.36, Kemiringan (roll) : 3.00
2026-05-21 10:15:59,4218230, Ketinggian (Altitude) : 1966.66, Kemiringan (pitch) : 13.91, Kemiringan (roll) : -30.28
2026-05-21 10:16:00,4219234, Ketinggian (Altitude) : 1966.55, Kemiringan (pitch) : 6.14, Kemiringan (roll) : 9.43
