Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:26:21,4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) :4838702, Ketinggian (Altitude) : 1990.98, Kemiringan (pitch) : 0.94, Kemiringan (roll) : 3.50
2026-05-21 10:26:21,4839706, Ketinggian (Altitude) : 1991.06, Kemiringan (pitch) : 19.27, Kemiringan (roll) : -5.87
2026-05-21 10:26:21,4840710, Ketinggian (Altitude) : 1991.15, Kemiringan (pitch) : 12.18, Kemiringan (roll) : 14.56
2026-05-21 10:26:22,4841714, Ketinggian (Altitude) : 1991.24, Kemiringan (pitch) : 14.81, Kemiringan (roll) : -2.28
2026-05-21 10:26:23,4842718, Ketinggian (Altitude) : 1991.32, Kemiringan (pitch) : 13.87, Kemiringan (roll) : 11.40
2026-05-21 10:26:24,4843722, Ketinggian (Altitude) : 1991.41, Kemiringan (pitch) : 16.86, Kemiringan (roll) : -20.18
2026-05-21 10:26:25,4844726, Ketinggian (Altitude) : 1991.50, Kemiringan (pitch) : 3.03, Kemiringan (roll) : 8.10
2026-05-21 10:26:26,4845730, Ketinggian (Altitude) : 1991.55, Kemiringan (pitch) : 2.03, Kemiringan (roll) : 14.89
2026-05-21 10:26:27,4846734, Ketinggian (Altitude) : 1991.64, Kemiringan (pitch) : 9.99, Kemiringan (roll) : -1.02
2026-05-21 10:26:28,4847738, Ketinggian (Altitude) : 1991.67, Kemiringan (pitch) : -6.67, Kemiringan (roll) : 20.00
2026-05-21 10:26:29,4848742, Ketinggian (Altitude) : 1991.77, Kemiringan (pitch) : 7.98, Kemiringan (roll) : -1.33
2026-05-21 10:26:30,4849746, Ketinggian (Altitude) : 1991.83, Kemiringan (pitch) : 10.59, Kemiringan (roll) : 12.76
