Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 11:13:30,7667974, Ketinggian (Altitude) : 1941.39, Kemiringan (pitch) : 7.84, Kemiringan (roll) : -2.77
2026-05-21 11:13:30,7668978, Ketinggian (Altitude) : 1941.42, Kemiringan (pitch) : 4.50, Kemiringan (roll) : -0.20
2026-05-21 11:13:31,7669982, Ketinggian (Altitude) : 1941.45, Kemiringan (pitch) : -1.99, Kemiringan (roll) : 4.16
2026-05-21 11:13:32,7670986, Ketinggian (Altitude) : 1941.49, Kemiringan (pitch) : 4.12, Kemiringan (roll) : -3.38
2026-05-21 11:13:33,7671990, Ketinggian (Altitude) : 1941.52, Kemiringan (pitch) : 1.18, Kemiringan (roll) : -2.37
2026-05-21 11:13:34,7672994, Ketinggian (Altitude) : 1941.56, Kemiringan (pitch) : 5.39, Kemiringan (roll) : -1.97
2026-05-21 11:13:35,7673998, Ketinggian (Altitude) : 1941.62, Kemiringan (pitch) : -5.72, Kemiringan (roll) : -5.97
2026-05-21 11:13:36,7675002, Ketinggian (Altitude) : 1941.63, Kemiringan (pitch) : -8.43, Kemiringan (roll) : -17.33
2026-05-21 11:13:37,7676006, Ketinggian (Altitude) : 1941.66, Kemiringan (pitch) : 1.69, Kemiringan (roll) : -16.32
2026-05-21 11:13:38,7677010, Ketinggian (Altitude) : 1941.69, Kemiringan (pitch) : 4.09, Kemiringan (roll) : -10.64
2026-05-21 11:13:39,7678014, Ketinggian (Altitude) : 1941.69, Kemiringan (pitch) : 5.68, Kemiringan (roll) : -21.97
2026-05-21 11:13:40,7679018, Ketinggian (Altitude) : 1941.72, Kemiringan (pitch) : 8.95, Kemiringan (roll) : -10.65
2026-05-21 11:13:41,7680022, Ketinggian (Altitude) : 1941.72, Kemiringan (pitch) : 16.44, Kemiringan (roll) : -18.30
2026-05-21 11:13:42,7681026, Ketinggian (Altitude) : 1941.73, Kemiringan (pitch) : 23.74, Kemiringan (roll) : -21.96
2026-05-21 11:13:43,7682030, Ketinggian (Altitude) : 1941.72, Kemiringan (pitch) : 22.61, Kemiringan (roll) : -15.41
2026-05-21 11:13:44,7683034, Ketinggian (Altitude) : 1941.72, Kemiringan (pitch) : -5.73, Kemiringan (roll) : -0.42
2026-05-21 11:13:45,7684038, Ketinggian (Altitude) : 1941.73, Kemiringan (pitch) : 6.90, Kemiringan (roll) : -9.88
2026-05-21 11:13:46,7685042, Ketinggian (Altitude) : 1941.73, Kemiringan (pitch) : 10.69, Kemiringan (roll) : -8.97
2026-05-21 11:13:47,7686046, Ketinggian (Altitude) : 1941.73, Kemiringan (pitch) : 12.61, Kemiringan (roll) : 3.20
2026-05-21 11:13:48,7687050, Ketinggian (Altitude) : 1941.72, Kemiringan (pitch) : -17.96, Kemiringan (roll) : -9.49
