Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 11:01:33,6950114, Ketinggian (Altitude) : 1979.21, Kemiringan (pitch) : 4.29, Kemiringan (roll) : -8.07
2026-05-21 11:01:33,6951118, Ketinggian (Altitude) : 1979.08, Kemiringan (pitch) : 0.11, Kemiringan (roll) : -1.76
2026-05-21 11:01:33,6952122, Ketinggian (Altitude) : 1979.00, Kemiringan (pitch) : 14.09, Kemiringan (roll) : -4.90
2026-05-21 11:01:34,6953126, Ketinggian (Altitude) : 1978.93, Kemiringan (pitch) : 7.92, Kemiringan (roll) : 0.25
2026-05-21 11:01:35,6954130, Ketinggian (Altitude) : 1978.82, Kemiringan (pitch) : 13.84, Kemiringan (roll) : -4.06
2026-05-21 11:01:36,6955134, Ketinggian (Altitude) : 1978.74, Kemiringan (pitch) : 5.27, Kemiringan (roll) : -3.83
2026-05-21 11:01:37,6956138, Ketinggian (Altitude) : 1978.62, Kemiringan (pitch) : 11.93, Kemiringan (roll) : 4.36
2026-05-21 11:01:38,6957142, Ketinggian (Altitude) : 1978.48, Kemiringan (pitch) : 10.78, Kemiringan (roll) : 4.54
2026-05-21 11:01:39,6958146, Ketinggian (Altitude) : 1978.37, Kemiringan (pitch) : 3.49, Kemiringan (roll) : -1.88
2026-05-21 11:01:40,6959150, Ketinggian (Altitude) : 1978.19, Kemiringan (pitch) : 0.86, Kemiringan (roll) : -5.46
2026-05-21 11:01:41,6960154, Ketinggian (Altitude) : 1978.05, Kemiringan (pitch) : -6.83, Kemiringan (roll) : 3.41
2026-05-21 11:01:42,6961158, Ketinggian (Altitude) : 1977.86, Kemiringan (pitch) : 3.83, Kemiringan (roll) : 1.93
2026-05-21 11:01:43,6962162, Ketinggian (Altitude) : 1977.79, Kemiringan (pitch) : 13.22, Kemiringan (roll) : -5.66
2026-05-21 11:01:44,6963166, Ketinggian (Altitude) : 1977.59, Kemiringan (pitch) : 10.46, Kemiringan (roll) : 7.48
2026-05-21 11:01:45,6964170, Ketinggian (Altitude) : 1977.37, Kemiringan (pitch) : 1.63, Kemiringan (roll) : 1.87
2026-05-21 11:01:46,6965174, Ketinggian (Altitude) : 1977.18, Kemiringan (pitch) : 8.81, Kemiringan (roll) : 5.22
2026-05-21 11:01:47,6966178, Ketinggian (Altitude) : 1976.97, Kemiringan (pitch) : -6.20, Kemiringan (roll) : -0.23
2026-05-21 11:01:48,6967182, Ketinggian (Altitude) : 1976.77, Kemiringan (pitch) : 9.10, Kemiringan (roll) : -8.01
2026-05-21 11:01:49,6968186, Ketinggian (Altitude) : 1976.56, Kemiringan (pitch) : 8.82, Kemiringan (roll) : -5.96
2026-05-21 11:01:50,6969190, Ketinggian (Altitude) : 1976.33, Kemiringan (pitch) : 12.31, Kemiringan (roll) : 8.72
2026-05-21 11:01:51,6970194, Ketinggian (Altitude) : 1976.13, Kemiringan (pitch) : -0.49, Kemiringan (roll) : 10.73
2026-05-21 11:01:52,6971198, Ketinggian (Altitude) : 1975.88, Kemiringan (pitch) : -9.01, Kemiringan (roll) : -0.64
2026-05-21 11:01:53,6972202, Ketinggian (Altitude) : 1975.67, Kemiringan (pitch) : 1.75, Kemiringan (roll) : 1.47
2026-05-21 11:01:54,6973206, Ketinggian (Altitude) : 1975.44, Kemiringan (pitch) : 4.27, Kemiringan (roll) : 10.94
